label,text
1.0,1
1.0,สวัสดี
1.0,อรุณสวัสดิ์ ดูข่าว
1.0,D jai
1.0,สวัสดีชาวโลก
1.0,สวัสดีคน
1.0,สวัสดีพิธีกรทั้งสองท่าน
1.0,ยุบยุบมีผล
2.0,ดูสภาพรั่ว 
1.0,สวัสดีคนสวยคนหล่อตื่นเช้า ครัชชผลล
2.0,จบ จปร.เทียบที่อื่น = เด็กป.3
1.0,สวัสดีเรื่องเล่าเช้านี้พี่ยุทธ์น้องไบรท์
2.0,ผ้าใบกั้นเหรอ
1.0,อังคาร
1.0,สวัสดี เรื่องเล่าเช้านี้
2.0,ดู ห้อง ดูปลอดภัย
2.0,ระบบปิด = หู ตา
1.0,สวัสดี
2.0,ตรวจ gt300ตรวจ 5555+
1.0,..
2.0,มิดชิดเหรอ
2.0,อย่าเจ้าหน้าที่บ้านเมือง
2.0, กัมตรีงสี  ตปท. ใส่ถุง ฝัง หรา? มิดชิด  เน๊าะ
1.0,บ่ สิ เว๊า เดี๋ยวชักว้าว
2.0,ระบบปิดข่าว จริง ๆ
1.0,นึก ข้าว
2.0,รังสีอย่างงี้เหรอวะ
1.0,สวัสดี
2.0,โง่
2.0,มิดชิดๆๆๆๆ 
2.0,มิดชิด ควบคุมป้องกันดีมาก
2.0, ประเทศ
2.0,ทำอย่ามั่วซั่ว
2.0,
2.0,ตัวใครตัวมัน. ประเทศไทย ผ้าปอ้งรังสี
1.0,บ่  สิ เว๊า เดี๋ยวชักว่าว
2.0,อ้อผ้าใบ สบายใจ 5555555555555555555555555555555
1.0,รู้จักไอ้หนูปรมาณู
2.0,เออ มาตราฐานตามมา 555555555
2.0,ปิดปากปิดปาก เดี๋ยวรับฝาก ซีเซียม
2.0,เงิน เสี่ยหอย
1.0,เรื่องใหญ่วิ
1.0,ที่ผ่านมาอย่างงี้
2.0,รังสีไหม
1.0,หอบใจโชๆวัดตะโกกราบหลวงพ่อรวย
2.0,ปานนี้ปลิว ปท.กะลาแลนด์
2.0,อุบาด
1.0,100%หลอม
2.0,ประเทศกะลาแลนด์..ตายความมักง่าย โลภ
1.0,เซียมซีเสี่ยงรัก
1.0,ใจเย็นๆครัชชชผมตามหลังประเทศพัฒนา
1.0,ไทยแลนด์ โอนลี่
2.0, ทำห้องเก็้บ ล๊ะ งบ 1200 ล้าน เบิกหว่า?
2.0,ประเทศมีเงิน  เสี่ยหอย
1.0,ชีวิต คน 
2.0,แย่โรงงานหน่วยงานดูแล
0.0,เฮ ตู่ ยุบสภา เลี้ยงฉลอง
1.0,การ์ตูน เรื่อง ไอ้หนูปรมาณู
2.0,หนัก โควิด
2.0,เดือดร้อนประเทศ
1.0,
2.0,ไว้ใจ ผ้าใบคุม..!!! ถุยยย
1.0,@ศิริพัฒน์จันทร์สวัสดีหงษ์ขอให้รักปลอดภัย
2.0,อันตราย
2.0,ชีวิตป่วยตัวชั่วยพ่อ
2.0,วัวหายควายเข้ามาแทรก
1.0,หลอมแน่ๆ ตอบอ้อมโลกได่ ท่านเลขาผู้ว่า
1.0,.อ... .. ..อ.....อ.แ..อ้.อ..อ.อ...อ้.....อ.อ้
1.0,เลือกก้าวไก่
1.0,ใจความ
2.0,ประเทศ อันตรายปราจีน
1.0,ผู้ว่ารีบกินข้าว
2.0,งบซื้อดอกไม้เป็นหมื่อเก้าอี้ปูนแสนการป้องกันแคมป์ก่อสร้างดีฟ่า
2.0,
1.0,อืองง
2.0,คนมีความรู้แก้ปัญหา
1.0,ผู้ว่า เมาไวน์คับ 
0.0,ขอให้ทุกท่านปลอดภัย
2.0,เจอตัวแทนคำถามเจาะใจเจาะแทงกระดูกดำ 
1.0,ฝาท้าย
